"tam_impresion","n_paginas","n_pedidos"
2800,22,437
2670,14,204
2800,37,725
2784,15,279
2800,38,474
2620,172,1587
2620,249,2630
2470,84,798
2620,242,2509
2475,100,1192
2620,114,882
2620,37,511
2448,96,896
2648,116,1297
2525,94,857
1000,47,388
980,48,462
1000,15,67
1112,45,326
1000,23,145
1000,44,298
2188,23,179
1028,47,289
2200,31,200
1000,48,461
980,48,223
728,47,235
2510,26,235
1500,58,594
2500,128,1800
2620,120,1457
2528,120,1710
2630,121,1715
2550,122,1615
1150,61,196
1150,50,309
1150,50,263
1147,60,332
